date,category,actual,trend,seasonal,residual,z_score,is_anomaly
2024-04-20,Checking or savings account,20,34.33,-11.35,-2.97,-0.38,False
2024-04-21,Checking or savings account,12,34.15,-22.55,0.41,0.08,False
2024-04-22,Checking or savings account,37,34.12,-1.09,3.96,0.57,False
2024-04-23,Checking or savings account,42,34.24,11.58,-3.82,-0.5,False
2024-04-24,Checking or savings account,45,34.39,11.67,-1.06,-0.12,False
2024-04-25,Checking or savings account,39,34.69,5.46,-1.15,-0.13,False
2024-04-26,Checking or savings account,46,35.23,6.3,4.47,0.64,False
2024-04-27,Checking or savings account,22,35.96,-13.07,-0.89,-0.09,False
2024-04-28,Checking or savings account,13,36.64,-20.96,-2.68,-0.34,False
2024-04-29,Checking or savings account,29,37.22,-0.58,-7.64,-1.02,False
2024-04-30,Checking or savings account,55,37.62,10.18,7.2,1.02,False
2024-05-01,Checking or savings account,59,37.88,13.7,7.42,1.05,False
2024-05-02,Checking or savings account,44,38.09,4.74,1.16,0.19,False
2024-05-03,Checking or savings account,36,38.28,5.94,-8.22,-1.1,False
2024-05-04,Checking or savings account,27,38.18,-14.52,3.34,0.49,False
2024-05-05,Checking or savings account,19,37.65,-20.01,1.36,0.22,False
2024-05-06,Checking or savings account,37,36.91,1.31,-1.21,-0.14,False
2024-05-07,Checking or savings account,44,36.31,8.44,-0.74,-0.07,False
2024-05-08,Checking or savings account,51,35.83,14.73,0.44,0.09,False
2024-05-09,Checking or savings account,38,35.28,4.47,-1.74,-0.21,False
2024-05-10,Checking or savings account,41,34.63,4.89,1.49,0.23,False
2024-05-11,Checking or savings account,16,34.08,-15.6,-2.48,-0.31,False
2024-05-12,Checking or savings account,18,33.73,-20.25,4.52,0.65,False
2024-05-13,Checking or savings account,39,33.54,5.66,-0.2,0.0,False
2024-05-14,Checking or savings account,37,33.44,7.04,-3.49,-0.45,False
2024-05-15,Checking or savings account,45,33.46,14.37,-2.84,-0.36,False
2024-05-16,Checking or savings account,38,33.57,4.83,-0.4,-0.03,False
2024-05-17,Checking or savings account,40,33.82,4.2,1.98,0.3,False
2024-05-18,Checking or savings account,18,34.24,-16.0,-0.24,-0.0,False
2024-05-19,Checking or savings account,12,34.61,-20.62,-1.99,-0.24,False
2024-05-20,Checking or savings account,47,34.63,6.62,5.76,0.82,False
2024-05-21,Checking or savings account,41,34.29,7.7,-0.99,-0.11,False
2024-05-22,Checking or savings account,50,33.77,12.74,3.49,0.51,False
2024-05-23,Checking or savings account,49,33.29,4.57,11.13,1.56,False
2024-05-24,Checking or savings account,35,33.06,3.32,-1.37,-0.16,False
2024-05-25,Checking or savings account,15,32.91,-13.88,-4.03,-0.53,False
2024-05-26,Checking or savings account,8,32.71,-20.99,-3.73,-0.48,False
2024-05-27,Checking or savings account,8,32.6,6.02,-30.62,-4.19,True
2024-05-28,Checking or savings account,43,32.7,10.61,-0.31,-0.01,False
2024-05-29,Checking or savings account,46,33.03,10.12,2.84,0.42,False
2024-05-30,Checking or savings account,38,33.44,4.03,0.53,0.1,False
2024-05-31,Checking or savings account,36,33.68,1.78,0.55,0.1,False
2024-06-01,Checking or savings account,24,33.55,-10.61,1.06,0.17,False
2024-06-02,Checking or savings account,16,33.16,-20.66,3.5,0.51,False
2024-06-03,Checking or savings account,35,32.83,4.82,-2.65,-0.34,False
2024-06-04,Checking or savings account,47,32.57,13.91,0.52,0.1,False
2024-06-05,Checking or savings account,36,32.32,6.33,-2.65,-0.34,False
2024-06-06,Checking or savings account,33,32.05,2.57,-1.62,-0.19,False
2024-06-07,Checking or savings account,51,31.72,1.56,17.72,2.47,False
2024-06-08,Checking or savings account,28,31.38,-8.4,5.02,0.72,False
2024-06-09,Checking or savings account,11,31.06,-19.68,-0.38,-0.02,False
2024-06-10,Checking or savings account,34,30.64,3.91,-0.56,-0.05,False
2024-06-11,Checking or savings account,50,30.11,15.0,4.89,0.7,False
2024-06-12,Checking or savings account,32,29.55,5.08,-2.64,-0.33,False
2024-06-13,Checking or savings account,30,29.11,1.04,-0.15,0.01,False
2024-06-14,Checking or savings account,28,28.81,2.04,-2.84,-0.36,False
2024-06-15,Checking or savings account,11,28.66,-7.57,-10.09,-1.36,False
2024-06-16,Checking or savings account,9,28.71,-19.98,0.28,0.07,False
2024-06-17,Checking or savings account,35,29.02,4.38,1.6,0.25,False
2024-06-18,Checking or savings account,44,29.57,14.08,0.35,0.08,False
2024-06-19,Checking or savings account,18,30.22,6.35,-18.58,-2.53,True
2024-06-20,Checking or savings account,30,30.82,1.28,-2.09,-0.26,False
2024-06-21,Checking or savings account,35,31.22,3.33,0.44,0.09,False
2024-06-22,Checking or savings account,26,31.53,-9.21,3.69,0.54,False
2024-06-23,Checking or savings account,10,31.9,-20.93,-0.97,-0.11,False
2024-06-24,Checking or savings account,38,32.37,3.78,1.85,0.28,False
2024-06-25,Checking or savings account,41,32.81,12.39,-4.21,-0.55,False
2024-06-26,Checking or savings account,41,33.08,9.24,-1.32,-0.15,False
2024-06-27,Checking or savings account,49,33.21,3.26,12.53,1.76,False
2024-06-28,Checking or savings account,40,33.39,4.18,2.42,0.36,False
2024-06-29,Checking or savings account,22,33.72,-11.76,0.05,0.04,False
2024-06-30,Checking or savings account,14,34.06,-22.13,2.07,0.31,False
2024-07-01,Checking or savings account,33,34.19,3.62,-4.81,-0.63,False
2024-07-02,Checking or savings account,46,34.07,11.48,0.45,0.09,False
2024-07-03,Checking or savings account,48,33.97,12.11,1.92,0.29,False
2024-07-04,Checking or savings account,15,34.04,5.12,-24.16,-3.3,True
2024-07-05,Checking or savings account,23,34.29,3.66,-14.96,-2.03,False
2024-07-06,Checking or savings account,19,34.59,-14.39,-1.21,-0.14,False
2024-07-07,Checking or savings account,10,34.81,-22.18,-2.63,-0.33,False
2024-07-08,Checking or savings account,39,34.8,3.55,0.65,0.12,False
2024-07-09,Checking or savings account,47,34.68,10.85,1.47,0.23,False
2024-07-10,Checking or savings account,55,34.61,12.59,7.8,1.1,False
2024-07-11,Checking or savings account,42,34.62,7.71,-0.33,-0.02,False
2024-07-12,Checking or savings account,37,34.49,2.56,-0.05,0.02,False
2024-07-13,Checking or savings account,15,34.07,-14.98,-4.1,-0.54,False
2024-07-14,Checking or savings account,11,33.47,-21.23,-1.24,-0.14,False
2024-07-15,Checking or savings account,42,32.89,3.59,5.52,0.79,False
2024-07-16,Checking or savings account,52,32.49,8.69,10.82,1.52,False
2024-07-17,Checking or savings account,40,32.17,12.85,-5.02,-0.66,False
2024-07-18,Checking or savings account,40,31.79,8.63,-0.42,-0.03,False
2024-07-19,Checking or savings account,32,31.34,1.33,-0.66,-0.06,False
2024-07-20,Checking or savings account,18,30.88,-14.53,1.65,0.26,False
2024-07-21,Checking or savings account,13,30.71,-19.54,1.83,0.28,False
2024-07-22,Checking or savings account,31,30.95,3.41,-3.36,-0.43,False
2024-07-23,Checking or savings account,32,31.37,7.28,-6.65,-0.89,False
2024-07-24,Checking or savings account,45,31.78,12.67,0.55,0.1,False
2024-07-25,Checking or savings account,42,32.21,9.79,-0.01,0.03,False
2024-07-26,Checking or savings account,33,32.78,0.71,-0.49,-0.04,False
2024-07-27,Checking or savings account,23,33.51,-14.65,4.14,0.6,False
2024-07-28,Checking or savings account,16,34.21,-18.17,-0.04,0.02,False
2024-07-29,Checking or savings account,37,34.67,2.26,0.08,0.04,False
2024-07-30,Checking or savings account,40,34.93,6.07,-1.0,-0.11,False
2024-07-31,Checking or savings account,32,35.04,14.17,-17.21,-2.34,False
2024-08-01,Checking or savings account,48,35.02,10.43,2.56,0.38,False
2024-08-02,Checking or savings account,36,34.88,0.43,0.69,0.12,False
2024-08-03,Checking or savings account,17,34.65,-15.96,-1.69,-0.2,False
2024-08-04,Checking or savings account,18,34.22,-18.8,2.58,0.38,False
2024-08-05,Checking or savings account,35,33.62,1.62,-0.24,-0.0,False
2024-08-06,Checking or savings account,42,33.06,7.73,1.22,0.2,False
2024-08-07,Checking or savings account,48,32.76,15.53,-0.29,-0.01,False
2024-08-08,Checking or savings account,39,32.77,11.07,-4.85,-0.64,False
2024-08-09,Checking or savings account,31,33.05,1.37,-3.41,-0.44,False
2024-08-10,Checking or savings account,14,33.52,-18.23,-1.28,-0.15,False
2024-08-11,Checking or savings account,13,34.08,-20.1,-0.97,-0.11,False
2024-08-12,Checking or savings account,37,34.61,1.51,0.88,0.15,False
2024-08-13,Checking or savings account,48,35.02,8.63,4.34,0.63,False
2024-08-14,Checking or savings account,54,35.18,15.26,3.56,0.52,False
2024-08-15,Checking or savings account,50,34.95,11.43,3.62,0.53,False
2024-08-16,Checking or savings account,38,34.38,3.33,0.3,0.07,False
2024-08-17,Checking or savings account,15,33.56,-18.9,0.34,0.08,False
2024-08-18,Checking or savings account,10,32.63,-21.15,-1.48,-0.17,False
2024-08-19,Checking or savings account,32,31.72,1.57,-1.29,-0.15,False
2024-08-20,Checking or savings account,33,31.02,8.6,-6.61,-0.88,False
2024-08-21,Checking or savings account,44,30.66,12.21,1.13,0.18,False
2024-08-22,Checking or savings account,41,30.73,12.78,-2.51,-0.32,False
2024-08-23,Checking or savings account,38,31.17,5.06,1.76,0.27,False
2024-08-24,Checking or savings account,10,31.92,-17.64,-4.28,-0.56,False
2024-08-25,Checking or savings account,11,32.88,-20.82,-1.06,-0.12,False
2024-08-26,Checking or savings account,36,33.89,1.84,0.27,0.07,False
2024-08-27,Checking or savings account,50,34.81,7.19,8.0,1.13,False
2024-08-28,Checking or savings account,42,35.67,9.02,-2.69,-0.34,False
2024-08-29,Checking or savings account,51,36.23,13.37,1.41,0.22,False
2024-08-30,Checking or savings account,45,36.33,5.14,3.53,0.51,False
2024-08-31,Checking or savings account,23,36.04,-16.09,3.05,0.45,False
2024-09-01,Checking or savings account,15,35.6,-19.75,-0.85,-0.09,False
2024-09-02,Checking or savings account,14,35.18,2.6,-23.78,-3.25,True
2024-09-03,Checking or savings account,34,34.88,7.67,-8.55,-1.15,False
2024-09-04,Checking or savings account,59,34.52,6.94,17.53,2.44,False
2024-09-05,Checking or savings account,49,34.1,12.19,2.71,0.4,False
2024-09-06,Checking or savings account,34,33.9,4.03,-3.93,-0.51,False
2024-09-07,Checking or savings account,19,34.19,-13.54,-1.65,-0.2,False
2024-09-08,Checking or savings account,22,34.82,-19.33,6.51,0.93,False
2024-09-09,Checking or savings account,38,35.48,3.31,-0.79,-0.08,False
2024-09-10,Checking or savings account,44,36.01,8.81,-0.82,-0.08,False
2024-09-11,Checking or savings account,41,36.53,5.91,-1.44,-0.17,False
2024-09-12,Checking or savings account,48,37.09,9.81,1.09,0.18,False
2024-09-13,Checking or savings account,42,37.57,2.58,1.85,0.28,False
2024-09-14,Checking or savings account,27,37.77,-11.44,0.67,0.12,False
2024-09-15,Checking or savings account,15,37.61,-19.12,-3.49,-0.45,False
2024-09-16,Checking or savings account,44,37.22,3.06,3.72,0.54,False
2024-09-17,Checking or savings account,55,36.72,10.44,7.84,1.11,False
2024-09-18,Checking or savings account,45,36.07,6.08,2.84,0.42,False
2024-09-19,Checking or savings account,37,35.21,8.15,-6.37,-0.85,False
2024-09-20,Checking or savings account,34,34.07,2.71,-2.78,-0.35,False
2024-09-21,Checking or savings account,25,32.7,-10.95,3.24,0.48,False
2024-09-22,Checking or savings account,14,31.44,-20.38,2.94,0.43,False
2024-09-23,Checking or savings account,31,30.6,1.44,-1.04,-0.11,False
2024-09-24,Checking or savings account,39,30.13,12.59,-3.72,-0.48,False
2024-09-25,Checking or savings account,30,29.89,7.61,-7.5,-1.0,False
2024-09-26,Checking or savings account,36,29.82,7.94,-1.77,-0.21,False
2024-09-27,Checking or savings account,34,30.09,3.03,0.88,0.15,False
2024-09-28,Checking or savings account,20,30.86,-11.79,0.93,0.16,False
2024-09-29,Checking or savings account,8,31.98,-20.34,-3.63,-0.47,False
2024-09-30,Checking or savings account,32,32.97,-0.28,-0.69,-0.07,False
2024-10-01,Checking or savings account,49,33.6,12.45,2.95,0.43,False
2024-10-02,Checking or savings account,46,33.97,9.2,2.83,0.42,False
2024-10-03,Checking or savings account,49,34.08,8.47,6.45,0.92,False
2024-10-04,Checking or savings account,39,33.9,3.14,1.95,0.3,False
2024-10-05,Checking or savings account,17,33.41,-13.56,-2.86,-0.36,False
2024-10-06,Checking or savings account,12,32.6,-19.45,-1.15,-0.13,False
2024-10-07,Checking or savings account,56,31.63,-0.7,25.08,3.48,True
2024-10-08,Checking or savings account,44,30.73,10.85,2.42,0.36,False
2024-10-09,Checking or savings account,39,29.98,11.43,-2.41,-0.3,False
2024-10-10,Checking or savings account,38,29.38,9.04,-0.42,-0.03,False
2024-10-11,Checking or savings account,30,28.95,3.79,-2.74,-0.35,False
2024-10-12,Checking or savings account,14,28.62,-15.58,0.96,0.16,False
2024-10-13,Checking or savings account,13,28.44,-18.8,3.36,0.49,False
2024-10-14,Checking or savings account,26,28.49,-0.15,-2.33,-0.29,False
2024-10-15,Checking or savings account,32,28.76,9.77,-6.53,-0.87,False
2024-10-16,Checking or savings account,48,29.17,12.39,6.44,0.92,False
2024-10-17,Checking or savings account,35,29.62,8.35,-2.97,-0.38,False
2024-10-18,Checking or savings account,51,30.06,3.78,17.16,2.39,False
2024-10-19,Checking or savings account,14,30.67,-15.68,-0.99,-0.11,False
2024-10-20,Checking or savings account,14,31.43,-18.29,0.85,0.15,False
2024-10-21,Checking or savings account,35,32.06,1.19,1.75,0.27,False
2024-10-22,Checking or savings account,41,32.39,8.48,0.13,0.05,False
2024-10-23,Checking or savings account,43,32.5,12.15,-1.65,-0.2,False
2024-10-24,Checking or savings account,45,32.51,6.94,5.55,0.79,False
2024-10-25,Checking or savings account,40,32.57,3.67,3.76,0.55,False
2024-10-26,Checking or savings account,14,32.51,-14.06,-4.45,-0.58,False
2024-10-27,Checking or savings account,10,32.24,-18.53,-3.72,-0.48,False
2024-10-28,Checking or savings account,35,31.9,3.45,-0.35,-0.02,False
2024-10-29,Checking or savings account,43,31.61,7.72,3.67,0.53,False
2024-10-30,Checking or savings account,45,31.41,9.38,4.2,0.61,False
2024-10-31,Checking or savings account,34,31.29,6.9,-4.19,-0.55,False
2024-11-01,Checking or savings account,31,31.03,4.11,-4.15,-0.54,False
2024-11-02,Checking or savings account,22,30.55,-12.16,3.61,0.53,False
2024-11-03,Checking or savings account,14,30.05,-19.55,3.5,0.51,False
2024-11-04,Checking or savings account,35,29.75,5.49,-0.24,-0.0,False
2024-11-05,Checking or savings account,35,29.68,7.06,-1.74,-0.21,False
2024-11-06,Checking or savings account,29,29.7,7.31,-8.0,-1.07,False
2024-11-07,Checking or savings account,36,29.7,6.81,-0.5,-0.04,False
2024-11-08,Checking or savings account,34,29.86,3.53,0.61,0.11,False
2024-11-09,Checking or savings account,21,30.38,-9.69,0.31,0.07,False
2024-11-10,Checking or savings account,11,31.25,-20.1,-0.15,0.01,False
2024-11-11,Checking or savings account,18,32.21,6.47,-20.68,-2.82,True
2024-11-12,Checking or savings account,38,33.03,6.77,-1.8,-0.22,False
2024-11-13,Checking or savings account,39,33.65,5.61,-0.26,-0.01,False
2024-11-14,Checking or savings account,44,34.11,7.44,2.46,0.37,False
2024-11-15,Checking or savings account,42,34.43,2.3,5.27,0.75,False
2024-11-16,Checking or savings account,26,34.47,-8.49,0.02,0.03,False
2024-11-17,Checking or savings account,12,34.13,-20.9,-1.23,-0.14,False
2024-11-18,Checking or savings account,44,33.54,6.55,3.91,0.57,False
2024-11-19,Checking or savings account,39,32.8,7.72,-1.51,-0.18,False
2024-11-20,Checking or savings account,39,32.04,4.91,2.06,0.31,False
2024-11-21,Checking or savings account,38,31.44,8.52,-1.96,-0.24,False
2024-11-22,Checking or savings account,26,30.98,2.57,-7.55,-1.01,False
2024-11-23,Checking or savings account,23,30.57,-9.17,1.59,0.25,False
2024-11-24,Checking or savings account,8,30.35,-21.17,-1.17,-0.13,False
2024-11-25,Checking or savings account,34,30.48,5.19,-1.67,-0.2,False
2024-11-26,Checking or savings account,44,30.82,9.26,3.92,0.57,False
2024-11-27,Checking or savings account,34,31.18,5.11,-2.29,-0.29,False
2024-11-28,Checking or savings account,18,31.47,9.8,-23.26,-3.18,True
2024-11-29,Checking or savings account,19,31.71,2.09,-14.8,-2.01,False
2024-11-30,Checking or savings account,23,32.0,-10.47,1.47,0.23,False
2024-12-01,Checking or savings account,12,32.29,-20.32,0.03,0.03,False
2024-12-02,Checking or savings account,35,32.52,2.26,0.22,0.06,False
2024-12-03,Checking or savings account,41,32.69,11.27,-2.96,-0.38,False
2024-12-04,Checking or savings account,39,32.64,4.52,1.83,0.28,False
2024-12-05,Checking or savings account,44,32.59,10.43,0.99,0.16,False
2024-12-06,Checking or savings account,38,32.67,2.48,2.85,0.42,False
2024-12-07,Checking or savings account,16,32.91,-10.82,-6.08,-0.81,False
2024-12-08,Checking or savings account,15,33.09,-19.89,1.81,0.28,False
2024-12-09,Checking or savings account,27,33.16,1.55,-7.71,-1.03,False
2024-12-10,Checking or savings account,47,33.22,11.18,2.6,0.39,False
2024-12-11,Checking or savings account,37,33.5,3.86,-0.36,-0.02,False
2024-12-12,Checking or savings account,48,34.06,9.63,4.31,0.62,False
2024-12-13,Checking or savings account,35,34.78,5.81,-5.59,-0.74,False
2024-12-14,Checking or savings account,24,35.29,-8.9,-2.39,-0.3,False
2024-12-15,Checking or savings account,16,35.59,-19.68,0.08,0.04,False
2024-12-16,Checking or savings account,41,35.87,1.64,3.49,0.51,False
2024-12-17,Checking or savings account,50,36.17,10.25,3.58,0.52,False
2024-12-18,Checking or savings account,54,36.41,-2.59,20.18,2.81,True
2024-12-19,Checking or savings account,40,36.44,8.15,-4.59,-0.6,False
2024-12-20,Checking or savings account,47,36.12,10.05,0.82,0.14,False
2024-12-21,Checking or savings account,35,35.54,-7.08,6.54,0.93,False
2024-12-22,Checking or savings account,15,35.03,-19.7,-0.32,-0.02,False
2024-12-23,Checking or savings account,38,34.76,2.8,0.44,0.09,False
2024-12-24,Checking or savings account,37,34.49,9.95,-7.44,-1.0,False
2024-12-25,Checking or savings account,11,33.92,-5.16,-17.76,-2.42,False
2024-12-26,Checking or savings account,39,33.07,6.4,-0.47,-0.04,False
2024-12-27,Checking or savings account,50,32.32,14.43,3.25,0.48,False
2024-12-28,Checking or savings account,32,31.93,-7.67,7.73,1.09,False
2024-12-29,Checking or savings account,11,31.8,-18.96,-1.83,-0.22,False
2024-12-30,Checking or savings account,28,31.72,4.67,-8.4,-1.13,False
2024-12-31,Checking or savings account,39,31.66,11.03,-3.69,-0.48,False
2025-01-01,Checking or savings account,18,31.76,-12.43,-1.33,-0.15,False
2025-01-02,Checking or savings account,40,32.26,5.16,2.58,0.38,False
2025-01-03,Checking or savings account,48,33.33,17.03,-2.36,-0.3,False
2025-01-04,Checking or savings account,21,34.7,-12.26,-1.44,-0.17,False
2025-01-05,Checking or savings account,17,36.04,-17.81,-1.23,-0.14,False
2025-01-06,Checking or savings account,45,37.17,4.36,3.47,0.51,False
2025-01-07,Checking or savings account,52,38.25,11.97,1.78,0.27,False
2025-01-08,Checking or savings account,40,39.61,-2.1,2.49,0.37,False
2025-01-09,Checking or savings account,39,41.36,4.18,-6.54,-0.87,False
2025-01-10,Checking or savings account,39,43.16,15.99,-20.14,-2.75,True
2025-01-11,Checking or savings account,22,44.94,-19.08,-3.85,-0.5,False
2025-01-12,Checking or savings account,10,46.92,-17.64,-19.27,-2.63,True
2025-01-13,Checking or savings account,52,49.27,3.97,-1.24,-0.14,False
2025-01-14,Checking or savings account,67,51.16,11.33,4.51,0.65,False
2025-01-15,Checking or savings account,106,52.74,5.65,47.61,6.59,True
2025-01-16,Checking or savings account,107,53.72,3.68,49.61,6.86,True
2025-01-17,Checking or savings account,88,54.38,14.13,19.49,2.71,True
2025-01-18,Checking or savings account,78,54.98,-21.71,44.73,6.19,True
