date,institution,category,complaint_count
2024-01-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-01-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-12,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-01-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-01-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,8
2024-01-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-13,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-01-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-01-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,1
2024-01-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-14,JPMORGAN CHASE & CO.,Checking or savings account,1
2024-01-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-01-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-01-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-15,JPMORGAN CHASE & CO.,Checking or savings account,5
2024-01-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-01-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-01-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-16,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-01-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-01-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-01-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-01-17,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-01-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-01-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,23
2024-01-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-01-18,JPMORGAN CHASE & CO.,Checking or savings account,35
2024-01-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",14
2024-01-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-01-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-19,JPMORGAN CHASE & CO.,Checking or savings account,32
2024-01-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-01-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-01-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-20,JPMORGAN CHASE & CO.,Checking or savings account,16
2024-01-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-01-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-01-21,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-01-21,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-01-21,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-01-22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-01-22,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-22,JPMORGAN CHASE & CO.,Checking or savings account,27
2024-01-22,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",12
2024-01-23,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-01-23,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-01-23,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-01-23,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-01-24,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,24
2024-01-24,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-01-24,JPMORGAN CHASE & CO.,Checking or savings account,35
2024-01-24,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-01-25,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,22
2024-01-25,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-25,JPMORGAN CHASE & CO.,Checking or savings account,28
2024-01-25,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-01-26,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-01-26,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-26,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-01-26,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-01-27,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-01-27,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-01-27,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-01-27,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-01-28,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-01-28,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-01-28,JPMORGAN CHASE & CO.,Checking or savings account,3
2024-01-28,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-01-29,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-01-29,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-01-29,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-01-29,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-01-30,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,21
2024-01-30,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-01-30,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-01-30,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-01-31,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-01-31,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-01-31,JPMORGAN CHASE & CO.,Checking or savings account,34
2024-01-31,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-02-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-02-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-02-01,JPMORGAN CHASE & CO.,Checking or savings account,30
2024-02-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-02-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-02-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-02,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-02-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-02-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-02-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-03,JPMORGAN CHASE & CO.,Checking or savings account,13
2024-02-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-02-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-02-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-04,JPMORGAN CHASE & CO.,Checking or savings account,7
2024-02-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-02-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,23
2024-02-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-05,JPMORGAN CHASE & CO.,Checking or savings account,15
2024-02-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-02-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-02-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-06,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-02-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",11
2024-02-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-02-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-07,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-02-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-02-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-02-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-02-08,JPMORGAN CHASE & CO.,Checking or savings account,27
2024-02-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-02-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-02-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-09,JPMORGAN CHASE & CO.,Checking or savings account,29
2024-02-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-02-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,6
2024-02-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-02-10,JPMORGAN CHASE & CO.,Checking or savings account,10
2024-02-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-02-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-02-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-02-11,JPMORGAN CHASE & CO.,Checking or savings account,4
2024-02-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-02-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-02-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-02-12,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-02-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-02-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-02-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-02-13,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-02-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",9
2024-02-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-02-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-14,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-02-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-02-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-02-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-02-15,JPMORGAN CHASE & CO.,Checking or savings account,14
2024-02-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-02-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,25
2024-02-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-02-16,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-02-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-02-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-02-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-17,JPMORGAN CHASE & CO.,Checking or savings account,14
2024-02-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-02-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-02-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-18,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-02-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-02-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-02-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-02-19,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-02-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-02-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-02-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-02-20,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-02-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-02-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,19
2024-02-21,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-02-21,JPMORGAN CHASE & CO.,Checking or savings account,28
2024-02-21,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-02-22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-02-22,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-02-22,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-02-22,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-02-23,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,22
2024-02-23,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-02-23,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-02-23,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-02-24,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-02-24,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-24,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-02-24,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-02-25,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,2
2024-02-25,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-02-25,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-02-25,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-02-26,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,23
2024-02-26,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-02-26,JPMORGAN CHASE & CO.,Checking or savings account,27
2024-02-26,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-02-27,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-02-27,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-02-27,JPMORGAN CHASE & CO.,Checking or savings account,27
2024-02-27,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-02-28,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-02-28,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-02-28,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-02-28,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-02-29,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-02-29,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-02-29,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-02-29,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-03-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-03-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-03-01,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-03-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-03-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-03-02,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-03-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,6
2024-03-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-03-03,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-03-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-03-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-03-04,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-03-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-03-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-03-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-03-05,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-03-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-03-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-03-06,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-03-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-03-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,22
2024-03-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-03-07,JPMORGAN CHASE & CO.,Checking or savings account,35
2024-03-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-03-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,26
2024-03-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-03-08,JPMORGAN CHASE & CO.,Checking or savings account,35
2024-03-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-03-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-03-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-03-09,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-03-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-03-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-03-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-03-10,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-03-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-03-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-03-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-03-11,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-03-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",9
2024-03-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-03-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-03-12,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-03-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-03-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,23
2024-03-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-03-13,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-03-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-03-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-03-14,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-03-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-03-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-03-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-03-15,JPMORGAN CHASE & CO.,Checking or savings account,19
2024-03-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-03-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,6
2024-03-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-03-16,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-03-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-03-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-03-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-03-17,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-03-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,19
2024-03-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-03-18,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-03-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-03-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-03-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-03-19,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-03-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-03-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-03-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-03-20,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-03-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-03-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-03-21,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-03-21,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-03-21,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-03-22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-03-22,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
